Industry,Number of Employment (In Thousands),Month
Total nonfarm,137477,Jan 2007
Total private,115382,Jan 2007
Mining and logging,706,Jan 2007
Construction,7725,Jan 2007
Manufacturing,14008,Jan 2007
Wholesale trade,5903.6,Jan 2007
Retail trade,15447.6,Jan 2007
Transportation and warehousing,4518,Jan 2007
Utilities,548.6,Jan 2007
Information,3029,Jan 2007
Financial activities,8389,Jan 2007
Professional and business services,17887,Jan 2007
Education and health services,18415,Jan 2007
Leisure and hospitality,13338,Jan 2007
Other services,5467,Jan 2007
Government,22095,Jan 2007
Federal government,2731,Jan 2007
State government,5087,Jan 2007
Local government,14277,Jan 2007
Total nonfarm,137558,Feb 2007
Total private,115427,Feb 2007
Mining and logging,711,Feb 2007
Construction,7626,Feb 2007
Manufacturing,13997,Feb 2007
Wholesale trade,5918.7,Feb 2007
Retail trade,15479.3,Feb 2007
Transportation and warehousing,4519.1,Feb 2007
Utilities,548.5,Feb 2007
Information,3033,Feb 2007
Financial activities,8390,Feb 2007
Professional and business services,17918,Feb 2007
Education and health services,18451,Feb 2007
Leisure and hospitality,13361,Feb 2007
Other services,5474,Feb 2007
Government,22131,Feb 2007
Federal government,2732,Feb 2007
State government,5114,Feb 2007
Local government,14285,Feb 2007
Total nonfarm,137793,Mar 2007
Total private,115644,Mar 2007
Mining and logging,715,Mar 2007
Construction,7706,Mar 2007
Manufacturing,13970,Mar 2007
Wholesale trade,5921.9,Mar 2007
Retail trade,15547.7,Mar 2007
Transportation and warehousing,4522.5,Mar 2007
Utilities,549.1,Mar 2007
Information,3029,Mar 2007
Financial activities,8380,Mar 2007
Professional and business services,17949,Mar 2007
Education and health services,18507,Mar 2007
Leisure and hospitality,13363,Mar 2007
Other services,5484,Mar 2007
Government,22149,Mar 2007
Federal government,2731,Mar 2007
State government,5118,Mar 2007
Local government,14300,Mar 2007
Total nonfarm,137842,Apr 2007
Total private,115667,Apr 2007
Mining and logging,719,Apr 2007
Construction,7686,Apr 2007
Manufacturing,13945,Apr 2007
Wholesale trade,5937.6,Apr 2007
Retail trade,15513.2,Apr 2007
Transportation and warehousing,4525,Apr 2007
Utilities,551.4,Apr 2007
Information,3034,Apr 2007
Financial activities,8361,Apr 2007
Professional and business services,17966,Apr 2007
Education and health services,18563,Apr 2007
Leisure and hospitality,13375,Apr 2007
Other services,5491,Apr 2007
Government,22175,Apr 2007
Federal government,2732,Apr 2007
State government,5121,Apr 2007
Local government,14322,Apr 2007
Total nonfarm,137993,May 2007
Total private,115800,May 2007
Mining and logging,721,May 2007
Construction,7673,May 2007
Manufacturing,13929,May 2007
Wholesale trade,5945.2,May 2007
Retail trade,15534.5,May 2007
Transportation and warehousing,4526.4,May 2007
Utilities,553.7,May 2007
Information,3040,May 2007
Financial activities,8370,May 2007
Professional and business services,17999,May 2007
Education and health services,18608,May 2007
Leisure and hospitality,13404,May 2007
Other services,5496,May 2007
Government,22193,May 2007
Federal government,2733,May 2007
State government,5121,May 2007
Local government,14339,May 2007
Total nonfarm,138069,June 2007
Total private,115862,June 2007
Mining and logging,725,June 2007
Construction,7687,June 2007
Manufacturing,13911,June 2007
Wholesale trade,5955.1,June 2007
Retail trade,15513.9,June 2007
Transportation and warehousing,4524.9,June 2007
Utilities,554.9,June 2007
Information,3038,June 2007
Financial activities,8368,June 2007
Professional and business services,18011,June 2007
Education and health services,18661,June 2007
Leisure and hospitality,13413,June 2007
Other services,5499,June 2007
Government,22207,June 2007
Federal government,2729,June 2007
State government,5131,June 2007
Local government,14347,June 2007
Total nonfarm,138038,July 2007
Total private,115867,July 2007
Mining and logging,728,July 2007
Construction,7660,July 2007
Manufacturing,13889,July 2007
Wholesale trade,5962,July 2007
Retail trade,15515,July 2007
Transportation and warehousing,4527.9,July 2007
Utilities,555,July 2007
Information,3037,July 2007
Financial activities,8370,July 2007
Professional and business services,18015,July 2007
Education and health services,18691,July 2007
Leisure and hospitality,13417,July 2007
Other services,5500,July 2007
Government,22171,July 2007
Federal government,2727,July 2007
State government,5119,July 2007
Local government,14325,July 2007
Total nonfarm,138015,Aug 2007
Total private,115789,Aug 2007
Mining and logging,727,Aug 2007
Construction,7610,Aug 2007
Manufacturing,13828,Aug 2007
Wholesale trade,5961.4,Aug 2007
Retail trade,15517.1,Aug 2007
Transportation and warehousing,4524,Aug 2007
Utilities,555.8,Aug 2007
Information,3029,Aug 2007
Financial activities,8342,Aug 2007
Professional and business services,18025,Aug 2007
Education and health services,18755,Aug 2007
Leisure and hospitality,13419,Aug 2007
Other services,5496,Aug 2007
Government,22226,Aug 2007
Federal government,2738,Aug 2007
State government,5110,Aug 2007
