Quarter,Total private gross job gains,Total private gross job losses,Goods-producing gross job gains,Goods-producing gross job losses,Natural resources and mining gross job gains,Natural resources and mining gross job losses,Construction gross job gains,Construction gross job losses,Manufacturing gross job gains,Manufacturing gross job losses,Service-providing gross job gains,Service-providing gross job losses,Wholesale trade gross job gains,Wholesale trade gross job losses,Retail trade gross job gains,Retail trade gross job losses,Transportation and warehousing gross job gains,Transportation and warehousing gross job losses,Utilities gross job gains,Utilities gross job losses,Information gross job gains,Information gross job losses,Financial activities gross job gains,Financial activities gross job losses,Professional and business services gross job gains,Professional and business services gross job losses,Education and health services gross job gains,Education and health services gross job losses,Leisure and hospitality gross job gains,Leisure and hospitality gross job losses,Other services gross job gains,Other services gross job losses
Q1 2007,"7,815","7,231","1,698","1,714",290,291,883,834,525,589,"6,117","5,517",331,298,"1,132",981,246,242,12,12,147,139,449,430,"1,363","1,266",886,707,"1,226","1,140",310,288
Q2 2007,"7,647","7,515","1,627","1,716",289,275,824,862,514,579,"6,020","5,799",324,306,"1,024","1,065",251,227,14,11,162,140,438,464,"1,416","1,345",850,727,"1,220","1,207",307,292
Q3 2007,"7,376","7,585","1,516","1,743",265,279,778,895,473,569,"5,860","5,842",318,309,"1,024","1,048",229,238,14,12,154,153,424,479,"1,338","1,344",852,729,"1,195","1,211",298,305
Q4 2007,"7,687","7,419","1,601","1,698",293,259,804,875,504,564,"6,086","5,721",328,304,"1,031","1,024",248,235,15,11,146,154,433,486,"1,446","1,347",869,718,"1,250","1,142",306,287
Q1 2008,"7,320","7,519","1,535","1,776",283,295,774,882,478,599,"5,785","5,743",307,310,989,990,223,245,14,11,157,156,430,447,"1,294","1,358",860,728,"1,197","1,188",301,296
Q2 2008,"7,281","7,874","1,505","1,802",285,273,747,933,473,596,"5,776","6,072",300,320,938,"1,119",234,263,16,12,160,162,403,459,"1,354","1,430",867,753,"1,185","1,240",304,300
Q3 2008,"6,944","7,857","1,429","1,807",283,263,713,900,433,644,"5,515","6,050",281,318,913,"1,060",215,257,13,14,131,170,386,464,"1,265","1,435",859,747,"1,145","1,264",291,307
Q4 2008,"6,738","8,576","1,327","2,061",290,284,652,977,385,800,"5,411","6,515",264,368,840,"1,199",231,292,13,12,133,188,389,496,"1,234","1,642",891,736,"1,130","1,243",274,325
Q1 2009,"5,918","8,598","1,105","2,320",232,349,574,"1,003",299,968,"4,813","6,278",230,386,774,"1,028",182,305,12,11,118,176,346,462,"1,020","1,559",816,767,"1,047","1,257",256,314
Q2 2009,"6,425","8,092","1,268","2,159",283,303,621,947,364,909,"5,157","5,933",243,357,868,951,189,296,12,15,112,158,344,446,"1,154","1,478",835,744,"1,118","1,180",268,295
Q3 2009,"6,399","7,248","1,352","1,684",259,291,618,822,475,571,"5,047","5,564",240,306,848,929,191,240,12,12,113,159,331,421,"1,169","1,303",819,767,"1,057","1,121",255,291
Q4 2009,"6,665","6,929","1,327","1,575",288,288,623,769,416,518,"5,338","5,354",262,283,818,944,216,225,11,14,122,143,356,400,"1,359","1,184",871,736,"1,042","1,141",268,272
