Industry Type,# of Jobs,Quarter
Total private gross job gains,7815,Q1 2007
Total private gross job losses,7231,Q1 2007
Goods-producing gross job gains,1698,Q1 2007
Goods-producing gross job losses,1714,Q1 2007
Natural resources and mining gross job gains,290,Q1 2007
Natural resources and mining gross job losses,291,Q1 2007
Construction gross job gains,883,Q1 2007
Construction gross job losses,834,Q1 2007
Manufacturing gross job gains,525,Q1 2007
Manufacturing gross job losses,589,Q1 2007
Service-providing gross job gains,6117,Q1 2007
Service-providing gross job losses,5517,Q1 2007
Wholesale trade gross job gains,331,Q1 2007
Wholesale trade gross job losses,298,Q1 2007
Retail trade gross job gains,1132,Q1 2007
Retail trade gross job losses,981,Q1 2007
Transportation and warehousing gross job gains,246,Q1 2007
Transportation and warehousing gross job losses,242,Q1 2007
Utilities gross job gains,12,Q1 2007
Utilities gross job losses,12,Q1 2007
Information gross job gains,147,Q1 2007
Information gross job losses,139,Q1 2007
Financial activities gross job gains,449,Q1 2007
Financial activities gross job losses,430,Q1 2007
Professional and business services gross job gains,1363,Q1 2007
Professional and business services gross job losses,1266,Q1 2007
Education and health services gross job gains,886,Q1 2007
Education and health services gross job losses,707,Q1 2007
Leisure and hospitality gross job gains,1226,Q1 2007
Leisure and hospitality gross job losses,1140,Q1 2007
Other services gross job gains,310,Q1 2007
Other services gross job losses,288,Q1 2007
Total private gross job gains,7647,Q2 2007
Total private gross job losses,7515,Q2 2007
Goods-producing gross job gains,1627,Q2 2007
Goods-producing gross job losses,1716,Q2 2007
Natural resources and mining gross job gains,289,Q2 2007
Natural resources and mining gross job losses,275,Q2 2007
Construction gross job gains,824,Q2 2007
Construction gross job losses,862,Q2 2007
Manufacturing gross job gains,514,Q2 2007
Manufacturing gross job losses,579,Q2 2007
Service-providing gross job gains,6020,Q2 2007
Service-providing gross job losses,5799,Q2 2007
Wholesale trade gross job gains,324,Q2 2007
Wholesale trade gross job losses,306,Q2 2007
Retail trade gross job gains,1024,Q2 2007
Retail trade gross job losses,1065,Q2 2007
Transportation and warehousing gross job gains,251,Q2 2007
Transportation and warehousing gross job losses,227,Q2 2007
Utilities gross job gains,14,Q2 2007
Utilities gross job losses,11,Q2 2007
Information gross job gains,162,Q2 2007
Information gross job losses,140,Q2 2007
Financial activities gross job gains,438,Q2 2007
Financial activities gross job losses,464,Q2 2007
Professional and business services gross job gains,1416,Q2 2007
Professional and business services gross job losses,1345,Q2 2007
Education and health services gross job gains,850,Q2 2007
Education and health services gross job losses,727,Q2 2007
Leisure and hospitality gross job gains,1220,Q2 2007
Leisure and hospitality gross job losses,1207,Q2 2007
Other services gross job gains,307,Q2 2007
Other services gross job losses,292,Q2 2007
Total private gross job gains,7376,Q3 2007
Total private gross job losses,7585,Q3 2007
Goods-producing gross job gains,1516,Q3 2007
Goods-producing gross job losses,1743,Q3 2007
Natural resources and mining gross job gains,265,Q3 2007
Natural resources and mining gross job losses,279,Q3 2007
Construction gross job gains,778,Q3 2007
Construction gross job losses,895,Q3 2007
Manufacturing gross job gains,473,Q3 2007
Manufacturing gross job losses,569,Q3 2007
Service-providing gross job gains,5860,Q3 2007
Service-providing gross job losses,5842,Q3 2007
Wholesale trade gross job gains,318,Q3 2007
Wholesale trade gross job losses,309,Q3 2007
Retail trade gross job gains,1024,Q3 2007
Retail trade gross job losses,1048,Q3 2007
Transportation and warehousing gross job gains,229,Q3 2007
Transportation and warehousing gross job losses,238,Q3 2007
Utilities gross job gains,14,Q3 2007
Utilities gross job losses,12,Q3 2007
Information gross job gains,154,Q3 2007
Information gross job losses,153,Q3 2007
Financial activities gross job gains,424,Q3 2007
Financial activities gross job losses,479,Q3 2007
Professional and business services gross job gains,1338,Q3 2007
Professional and business services gross job losses,1344,Q3 2007
Education and health services gross job gains,852,Q3 2007
Education and health services gross job losses,729,Q3 2007
Leisure and hospitality gross job gains,1195,Q3 2007
Leisure and hospitality gross job losses,1211,Q3 2007
Other services gross job gains,298,Q3 2007
Other services gross job losses,305,Q3 2007
Total private gross job gains,7687,Q4 2007
Total private gross job losses,7419,Q4 2007
Goods-producing gross job gains,1601,Q4 2007
Goods-producing gross job losses,1698,Q4 2007
Natural resources and mining gross job gains,293,Q4 2007
Natural resources and mining gross job losses,259,Q4 2007
Construction gross job gains,804,Q4 2007
Construction gross job losses,875,Q4 2007
Manufacturing gross job gains,504,Q4 2007
Manufacturing gross job losses,564,Q4 2007
Service-providing gross job gains,6086,Q4 2007
Service-providing gross job losses,5721,Q4 2007
Wholesale trade gross job gains,328,Q4 2007
Wholesale trade gross job losses,304,Q4 2007
Retail trade gross job gains,1031,Q4 2007
Retail trade gross job losses,1024,Q4 2007
Transportation and warehousing gross job gains,248,Q4 2007
