DATE,NCUR
2003-01-01,6.400
2003-02-01,6.400
2003-03-01,6.400
2003-04-01,6.500
2003-05-01,6.500
2003-06-01,6.600
2003-07-01,6.600
2003-08-01,6.500
2003-09-01,6.400
2003-10-01,6.200
2003-11-01,6.100
2003-12-01,6.000
2004-01-01,5.900
2004-02-01,5.800
2004-03-01,5.700
2004-04-01,5.700
2004-05-01,5.600
2004-06-01,5.400
2004-07-01,5.300
2004-08-01,5.200
2004-09-01,5.200
2004-10-01,5.200
2004-11-01,5.300
2004-12-01,5.400
2005-01-01,5.400
2005-02-01,5.5
2005-03-01,5.400
2005-04-01,5.4
2005-05-01,5.300
2005-06-01,5.300
2005-07-01,5.3
2005-08-01,5.200
2005-09-01,5.200
2005-10-01,5.100
2005-11-01,5.0
2005-12-01,4.800
2006-01-01,4.700
2006-02-01,4.600
2006-03-01,4.600
2006-04-01,4.7
2006-05-01,4.700
2006-06-01,4.800
2006-07-01,4.800
2006-08-01,4.900
2006-09-01,4.900
2006-10-01,4.900
2006-11-01,4.800
2006-12-01,4.7
2007-01-01,4.700
2007-02-01,4.600
2007-03-01,4.600
2007-04-01,4.600
2007-05-01,4.6
2007-06-01,4.6
2007-07-01,4.7
2007-08-01,4.7
2007-09-01,4.8
2007-10-01,4.9
2007-11-01,4.9
2007-12-01,4.9
2008-01-01,4.9
2008-02-01,5.0
2008-03-01,5.1
2008-04-01,5.2
2008-05-01,5.5
2008-06-01,5.7
2008-07-01,5.9
2008-08-01,6.1
2008-09-01,6.3
2008-10-01,6.5
2008-11-01,8.3
2008-12-01,9.1
2009-01-01,9.6
2009-02-01,10.0
2009-03-01,10.3
2009-04-01,10.5
2009-05-01,10.6
2009-06-01,10.6
2009-07-01,10.6
2009-08-01,10.700
2009-09-01,10.800
2009-10-01,10.900
2009-11-01,11.1
2009-12-01,11.200
2010-01-01,11.4
2010-02-01,11.4
2010-03-01,11.4
2010-04-01,11.2
2010-05-01,11.0
2010-06-01,10.700
2010-07-01,10.6
2010-08-01,10.5
2010-09-01,10.4
2010-10-01,10.4
2010-11-01,10.4
2010-12-01,10.4
2011-01-01,10.4
2011-02-01,10.3
2011-03-01,10.3
2011-04-01,10.3
2011-05-01,10.3
2011-06-01,10.4
2011-07-01,10.5
2011-08-01,10.4
2011-09-01,10.3
2011-10-01,10.2
2011-11-01,10.0
2011-12-01,9.8
2012-01-01,9.6
2012-02-01,9.5
2012-03-01,9.4
2012-04-01,9.4
2012-05-01,9.4
2012-06-01,9.3
2012-07-01,9.3
2012-08-01,9.2
2012-09-01,9.2
2012-10-01,9.1
2012-11-01,9.1
2012-12-01,9.0
