DATE,MORTGAGE30US
2003-01-03,5.85
2003-01-10,5.95
2003-01-17,5.97
2003-01-24,5.91
2003-01-31,5.90
2003-02-07,5.88
2003-02-14,5.86
2003-02-21,5.84
2003-02-28,5.79
2003-03-07,5.67
2003-03-14,5.61
2003-03-21,5.79
2003-03-28,5.91
2003-04-04,5.79
2003-04-11,5.85
2003-04-18,5.82
2003-04-25,5.79
2003-05-02,5.70
2003-05-09,5.62
2003-05-16,5.45
2003-05-23,5.34
2003-05-30,5.31
2003-06-06,5.26
2003-06-13,5.21
2003-06-20,5.21
2003-06-27,5.24
2003-07-04,5.40
2003-07-11,5.52
2003-07-18,5.67
2003-07-25,5.94
2003-08-01,6.14
2003-08-08,6.34
2003-08-15,6.24
2003-08-22,6.28
2003-08-29,6.32
2003-09-05,6.44
2003-09-12,6.16
2003-09-19,6.01
2003-09-26,5.98
2003-10-03,5.77
2003-10-10,5.95
2003-10-17,6.05
2003-10-24,6.05
2003-10-31,5.94
2003-11-07,5.98
2003-11-14,6.03
2003-11-21,5.83
2003-11-28,5.89
2003-12-05,6.02
2003-12-12,5.88
2003-12-19,5.82
2003-12-26,5.81
2003-12-31,5.85
2004-01-08,5.87
2004-01-15,5.66
2004-01-22,5.64
2004-01-29,5.68
2004-02-05,5.72
2004-02-12,5.66
2004-02-19,5.58
2004-02-26,5.58
2004-03-04,5.59
2004-03-11,5.41
2004-03-18,5.38
2004-03-25,5.40
2004-04-01,5.52
2004-04-08,5.79
2004-04-15,5.89
2004-04-22,5.94
2004-04-29,6.01
2004-05-06,6.12
2004-05-13,6.34
2004-05-20,6.30
2004-05-27,6.32
2004-06-03,6.28
2004-06-10,6.30
2004-06-17,6.32
2004-06-24,6.25
2004-07-01,6.21
2004-07-08,6.01
2004-07-15,6.00
2004-07-22,5.98
2004-07-29,6.08
2004-08-05,5.99
2004-08-12,5.85
2004-08-19,5.81
2004-08-26,5.82
2004-09-02,5.77
2004-09-09,5.83
2004-09-16,5.75
2004-09-23,5.70
2004-09-30,5.72
2004-10-07,5.82
2004-10-14,5.74
2004-10-21,5.69
2004-10-28,5.64
2004-11-04,5.70
2004-11-11,5.76
2004-11-18,5.74
2004-11-24,5.72
2004-12-02,5.81
2004-12-09,5.71
2004-12-16,5.68
2004-12-22,5.75
2004-12-29,5.81
2005-01-06,5.77
2005-01-13,5.74
2005-01-20,5.67
2005-01-27,5.66
2005-02-03,5.63
2005-02-10,5.57
2005-02-17,5.62
2005-02-24,5.69
2005-03-03,5.79
2005-03-10,5.85
2005-03-17,5.95
2005-03-24,6.01
2005-03-31,6.04
2005-04-07,5.93
2005-04-14,5.91
2005-04-21,5.80
2005-04-28,5.78
2005-05-05,5.75
2005-05-12,5.77
2005-05-19,5.71
2005-05-26,5.65
2005-06-02,5.62
2005-06-09,5.56
2005-06-16,5.63
2005-06-23,5.57
2005-06-30,5.53
2005-07-07,5.62
2005-07-14,5.66
2005-07-21,5.73
2005-07-28,5.77
2005-08-04,5.82
2005-08-11,5.89
2005-08-18,5.80
2005-08-25,5.77
2005-09-01,5.71
2005-09-08,5.71
2005-09-15,5.74
2005-09-22,5.80
2005-09-29,5.91
2005-10-06,5.98
2005-10-13,6.03
2005-10-20,6.10
2005-10-27,6.15
2005-11-03,6.31
2005-11-10,6.36
2005-11-17,6.37
2005-11-23,6.28
2005-12-01,6.26
2005-12-08,6.32
2005-12-15,6.30
2005-12-22,6.26
2005-12-29,6.22
2006-01-05,6.21
2006-01-12,6.15
2006-01-19,6.10
2006-01-26,6.12
2006-02-02,6.23
2006-02-09,6.24
2006-02-16,6.28
2006-02-23,6.26
2006-03-02,6.24
2006-03-09,6.37
2006-03-16,6.34
2006-03-23,6.32
2006-03-30,6.35
2006-04-06,6.43
2006-04-13,6.49
2006-04-20,6.53
2006-04-27,6.58
2006-05-04,6.59
2006-05-11,6.58
2006-05-18,6.60
2006-05-25,6.62
2006-06-01,6.67
2006-06-08,6.62
2006-06-15,6.63
2006-06-22,6.71
2006-06-29,6.78
2006-07-06,6.79
2006-07-13,6.74
2006-07-20,6.80
2006-07-27,6.72
2006-08-03,6.63
2006-08-10,6.55
2006-08-17,6.52
2006-08-24,6.48
2006-08-31,6.44
2006-09-07,6.47
2006-09-14,6.43
2006-09-21,6.40
2006-09-28,6.31
2006-10-05,6.30
2006-10-12,6.37
2006-10-19,6.36
2006-10-26,6.40
2006-11-02,6.31
2006-11-09,6.33
2006-11-16,6.24
2006-11-22,6.18
2006-11-30,6.14
2006-12-07,6.11
2006-12-14,6.12
2006-12-21,6.13
2006-12-28,6.18
2007-01-04,6.18
2007-01-11,6.21
2007-01-18,6.23
2007-01-25,6.25
2007-02-01,6.34
2007-02-08,6.28
2007-02-15,6.30
2007-02-22,6.22
2007-03-01,6.18
2007-03-08,6.14
2007-03-15,6.14
2007-03-22,6.16
2007-03-29,6.16
2007-04-05,6.17
2007-04-12,6.22
2007-04-19,6.17
2007-04-26,6.16
2007-05-03,6.16
2007-05-10,6.15
2007-05-17,6.21
2007-05-24,6.37
2007-05-31,6.42
2007-06-07,6.53
2007-06-14,6.74
2007-06-21,6.69
2007-06-28,6.67
2007-07-05,6.63
